Project;ProcessName;FieldName;FieldRefName;FieldType;IsIdentity;IsCustom
TAKKT O365 Tenant Solution;Agile;Found In;Microsoft.VSTS.Build.FoundIn;string;No;No
TAKKT O365 Tenant Solution;Agile;Integration Build;Microsoft.VSTS.Build.IntegrationBuild;string;No;No
TAKKT O365 Tenant Solution;Agile;Accepted By;Microsoft.VSTS.CodeReview.AcceptedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Accepted Date;Microsoft.VSTS.CodeReview.AcceptedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Closed Status;Microsoft.VSTS.CodeReview.ClosedStatus;string;No;No
TAKKT O365 Tenant Solution;Agile;Closed Status Code;Microsoft.VSTS.CodeReview.ClosedStatusCode;integer;No;No
TAKKT O365 Tenant Solution;Agile;Closing Comment;Microsoft.VSTS.CodeReview.ClosingComment;string;No;No
TAKKT O365 Tenant Solution;Agile;Associated Context;Microsoft.VSTS.CodeReview.Context;string;No;No
TAKKT O365 Tenant Solution;Agile;Associated Context Code;Microsoft.VSTS.CodeReview.ContextCode;integer;No;No
TAKKT O365 Tenant Solution;Agile;Associated Context Owner;Microsoft.VSTS.CodeReview.ContextOwner;string;No;No
TAKKT O365 Tenant Solution;Agile;Associated Context Type;Microsoft.VSTS.CodeReview.ContextType;string;No;No
TAKKT O365 Tenant Solution;Agile;Acceptance Criteria;Microsoft.VSTS.Common.AcceptanceCriteria;html;No;No
TAKKT O365 Tenant Solution;Agile;Activated By;Microsoft.VSTS.Common.ActivatedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Activated Date;Microsoft.VSTS.Common.ActivatedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Activity;Microsoft.VSTS.Common.Activity;string;No;No
TAKKT O365 Tenant Solution;Agile;Business Value;Microsoft.VSTS.Common.BusinessValue;integer;No;No
TAKKT O365 Tenant Solution;Agile;Closed By;Microsoft.VSTS.Common.ClosedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Closed Date;Microsoft.VSTS.Common.ClosedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Issue;Microsoft.VSTS.Common.Issue;string;No;No
TAKKT O365 Tenant Solution;Agile;Priority;Microsoft.VSTS.Common.Priority;integer;No;No
TAKKT O365 Tenant Solution;Agile;Rating;Microsoft.VSTS.Common.Rating;string;No;No
TAKKT O365 Tenant Solution;Agile;Resolved By;Microsoft.VSTS.Common.ResolvedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Resolved Date;Microsoft.VSTS.Common.ResolvedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Resolved Reason;Microsoft.VSTS.Common.ResolvedReason;string;No;No
TAKKT O365 Tenant Solution;Agile;Reviewed By;Microsoft.VSTS.Common.ReviewedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Risk;Microsoft.VSTS.Common.Risk;string;No;No
TAKKT O365 Tenant Solution;Agile;Severity;Microsoft.VSTS.Common.Severity;string;No;No
TAKKT O365 Tenant Solution;Agile;Stack Rank;Microsoft.VSTS.Common.StackRank;double;No;No
TAKKT O365 Tenant Solution;Agile;State Change Date;Microsoft.VSTS.Common.StateChangeDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;State Code;Microsoft.VSTS.Common.StateCode;integer;No;No
TAKKT O365 Tenant Solution;Agile;Time Criticality;Microsoft.VSTS.Common.TimeCriticality;double;No;No
TAKKT O365 Tenant Solution;Agile;Value Area;Microsoft.VSTS.Common.ValueArea;string;No;No
TAKKT O365 Tenant Solution;Agile;Application Launch Instructions;Microsoft.VSTS.Feedback.ApplicationLaunchInstructions;html;No;No
TAKKT O365 Tenant Solution;Agile;Application Start Information;Microsoft.VSTS.Feedback.ApplicationStartInformation;plainText;No;No
TAKKT O365 Tenant Solution;Agile;Application Type;Microsoft.VSTS.Feedback.ApplicationType;string;No;No
TAKKT O365 Tenant Solution;Agile;Completed Work;Microsoft.VSTS.Scheduling.CompletedWork;double;No;No
TAKKT O365 Tenant Solution;Agile;Due Date;Microsoft.VSTS.Scheduling.DueDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Effort;Microsoft.VSTS.Scheduling.Effort;double;No;No
TAKKT O365 Tenant Solution;Agile;Finish Date;Microsoft.VSTS.Scheduling.FinishDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Original Estimate;Microsoft.VSTS.Scheduling.OriginalEstimate;double;No;No
TAKKT O365 Tenant Solution;Agile;Remaining Work;Microsoft.VSTS.Scheduling.RemainingWork;double;No;No
TAKKT O365 Tenant Solution;Agile;Start Date;Microsoft.VSTS.Scheduling.StartDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Story Points;Microsoft.VSTS.Scheduling.StoryPoints;double;No;No
TAKKT O365 Tenant Solution;Agile;Target Date;Microsoft.VSTS.Scheduling.TargetDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Automated Test Id;Microsoft.VSTS.TCM.AutomatedTestId;string;No;No
TAKKT O365 Tenant Solution;Agile;Automated Test Name;Microsoft.VSTS.TCM.AutomatedTestName;string;No;No
TAKKT O365 Tenant Solution;Agile;Automated Test Storage;Microsoft.VSTS.TCM.AutomatedTestStorage;string;No;No
TAKKT O365 Tenant Solution;Agile;Automated Test Type;Microsoft.VSTS.TCM.AutomatedTestType;string;No;No
TAKKT O365 Tenant Solution;Agile;Automation status;Microsoft.VSTS.TCM.AutomationStatus;string;No;No
TAKKT O365 Tenant Solution;Agile;Local Data Source;Microsoft.VSTS.TCM.LocalDataSource;html;No;No
TAKKT O365 Tenant Solution;Agile;Parameters;Microsoft.VSTS.TCM.Parameters;html;No;No
TAKKT O365 Tenant Solution;Agile;Query Text;Microsoft.VSTS.TCM.QueryText;plainText;No;No
TAKKT O365 Tenant Solution;Agile;Repro Steps;Microsoft.VSTS.TCM.ReproSteps;html;No;No
TAKKT O365 Tenant Solution;Agile;Steps;Microsoft.VSTS.TCM.Steps;html;No;No
TAKKT O365 Tenant Solution;Agile;System Info;Microsoft.VSTS.TCM.SystemInfo;html;No;No
TAKKT O365 Tenant Solution;Agile;Test Suite Audit;Microsoft.VSTS.TCM.TestSuiteAudit;plainText;No;No
TAKKT O365 Tenant Solution;Agile;Test Suite Type;Microsoft.VSTS.TCM.TestSuiteType;string;No;No
TAKKT O365 Tenant Solution;Agile;Test Suite Type Id;Microsoft.VSTS.TCM.TestSuiteTypeId;integer;No;No
TAKKT O365 Tenant Solution;Agile;Area ID;System.AreaId;integer;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 1;System.AreaLevel1;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 2;System.AreaLevel2;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 3;System.AreaLevel3;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 4;System.AreaLevel4;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 5;System.AreaLevel5;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 6;System.AreaLevel6;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 7;System.AreaLevel7;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Path;System.AreaPath;treePath;No;No
TAKKT O365 Tenant Solution;Agile;Assigned To;System.AssignedTo;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Attached File Count;System.AttachedFileCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;Authorized As;System.AuthorizedAs;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Authorized Date;System.AuthorizedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Board Column;System.BoardColumn;string;No;No
TAKKT O365 Tenant Solution;Agile;Board Column Done;System.BoardColumnDone;boolean;No;No
TAKKT O365 Tenant Solution;Agile;Board Lane;System.BoardLane;string;No;No
TAKKT O365 Tenant Solution;Agile;Changed By;System.ChangedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Changed Date;System.ChangedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Comment Count;System.CommentCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;Created By;System.CreatedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Created Date;System.CreatedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Description;System.Description;html;No;No
TAKKT O365 Tenant Solution;Agile;External Link Count;System.ExternalLinkCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;History;System.History;history;No;No
TAKKT O365 Tenant Solution;Agile;Hyperlink Count;System.HyperLinkCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;ID;System.Id;integer;No;No
TAKKT O365 Tenant Solution;Agile;Iteration ID;System.IterationId;integer;No;No
TAKKT O365 Tenant Solution;Agile;Iteration Level 1;System.IterationLevel1;string;No;No
TAKKT O365 Tenant Solution;Agile;Iteration Level 2;System.IterationLevel2;string;No;No
TAKKT O365 Tenant Solution;Agile;Iteration Level 3;System.IterationLevel3;string;No;No
TAKKT O365 Tenant Solution;Agile;Iteration Level 4;System.IterationLevel4;string;No;No
TAKKT O365 Tenant Solution;Agile;Iteration Level 5;System.IterationLevel5;string;No;No
TAKKT O365 Tenant Solution;Agile;Iteration Level 6;System.IterationLevel6;string;No;No
TAKKT O365 Tenant Solution;Agile;Iteration Level 7;System.IterationLevel7;string;No;No
TAKKT O365 Tenant Solution;Agile;Iteration Path;System.IterationPath;treePath;No;No
TAKKT O365 Tenant Solution;Agile;Node Name;System.NodeName;string;No;No
TAKKT O365 Tenant Solution;Agile;Parent;System.Parent;integer;No;No
TAKKT O365 Tenant Solution;Agile;Reason;System.Reason;string;No;No
TAKKT O365 Tenant Solution;Agile;Related Link Count;System.RelatedLinkCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;Remote Link Count;System.RemoteLinkCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;Rev;System.Rev;integer;No;No
TAKKT O365 Tenant Solution;Agile;Revised Date;System.RevisedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;State;System.State;string;No;No
TAKKT O365 Tenant Solution;Agile;Tags;System.Tags;plainText;No;No
TAKKT O365 Tenant Solution;Agile;Team Project;System.TeamProject;string;No;No
TAKKT O365 Tenant Solution;Agile;Title;System.Title;string;No;No
TAKKT O365 Tenant Solution;Agile;Watermark;System.Watermark;integer;No;No
TAKKT O365 Tenant Solution;Agile;Work Item Type;System.WorkItemType;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Asignee_2;Custom.Asignee_2;string;Yes;Yes
Kanban WebshopMgmt;Kanban WebshopMgmt;Reporter;Custom.Reporter;string;Yes;Yes
Kanban WebshopMgmt;Kanban WebshopMgmt;temp;Custom.temp;string;No;Yes
Kanban WebshopMgmt;Kanban WebshopMgmt;Found In;Microsoft.VSTS.Build.FoundIn;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Integration Build;Microsoft.VSTS.Build.IntegrationBuild;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Accepted By;Microsoft.VSTS.CodeReview.AcceptedBy;string;Yes;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Accepted Date;Microsoft.VSTS.CodeReview.AcceptedDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Closed Status;Microsoft.VSTS.CodeReview.ClosedStatus;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Closed Status Code;Microsoft.VSTS.CodeReview.ClosedStatusCode;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Closing Comment;Microsoft.VSTS.CodeReview.ClosingComment;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Associated Context;Microsoft.VSTS.CodeReview.Context;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Associated Context Code;Microsoft.VSTS.CodeReview.ContextCode;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Associated Context Owner;Microsoft.VSTS.CodeReview.ContextOwner;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Associated Context Type;Microsoft.VSTS.CodeReview.ContextType;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Acceptance Criteria;Microsoft.VSTS.Common.AcceptanceCriteria;html;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Activated By;Microsoft.VSTS.Common.ActivatedBy;string;Yes;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Activated Date;Microsoft.VSTS.Common.ActivatedDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Activity;Microsoft.VSTS.Common.Activity;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Business Value;Microsoft.VSTS.Common.BusinessValue;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Closed By;Microsoft.VSTS.Common.ClosedBy;string;Yes;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Closed Date;Microsoft.VSTS.Common.ClosedDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Issue;Microsoft.VSTS.Common.Issue;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Priority;Microsoft.VSTS.Common.Priority;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Rating;Microsoft.VSTS.Common.Rating;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Resolved By;Microsoft.VSTS.Common.ResolvedBy;string;Yes;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Resolved Date;Microsoft.VSTS.Common.ResolvedDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Resolved Reason;Microsoft.VSTS.Common.ResolvedReason;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Reviewed By;Microsoft.VSTS.Common.ReviewedBy;string;Yes;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Risk;Microsoft.VSTS.Common.Risk;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Severity;Microsoft.VSTS.Common.Severity;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Stack Rank;Microsoft.VSTS.Common.StackRank;double;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;State Change Date;Microsoft.VSTS.Common.StateChangeDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;State Code;Microsoft.VSTS.Common.StateCode;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Time Criticality;Microsoft.VSTS.Common.TimeCriticality;double;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Value Area;Microsoft.VSTS.Common.ValueArea;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Application Launch Instructions;Microsoft.VSTS.Feedback.ApplicationLaunchInstructions;html;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Application Start Information;Microsoft.VSTS.Feedback.ApplicationStartInformation;plainText;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Application Type;Microsoft.VSTS.Feedback.ApplicationType;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Completed Work;Microsoft.VSTS.Scheduling.CompletedWork;double;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Due Date;Microsoft.VSTS.Scheduling.DueDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Effort;Microsoft.VSTS.Scheduling.Effort;double;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Finish Date;Microsoft.VSTS.Scheduling.FinishDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Original Estimate;Microsoft.VSTS.Scheduling.OriginalEstimate;double;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Remaining Work;Microsoft.VSTS.Scheduling.RemainingWork;double;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Start Date;Microsoft.VSTS.Scheduling.StartDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Story Points;Microsoft.VSTS.Scheduling.StoryPoints;double;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Target Date;Microsoft.VSTS.Scheduling.TargetDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Automated Test Id;Microsoft.VSTS.TCM.AutomatedTestId;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Automated Test Name;Microsoft.VSTS.TCM.AutomatedTestName;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Automated Test Storage;Microsoft.VSTS.TCM.AutomatedTestStorage;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Automated Test Type;Microsoft.VSTS.TCM.AutomatedTestType;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Automation status;Microsoft.VSTS.TCM.AutomationStatus;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Local Data Source;Microsoft.VSTS.TCM.LocalDataSource;html;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Parameters;Microsoft.VSTS.TCM.Parameters;html;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Query Text;Microsoft.VSTS.TCM.QueryText;plainText;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Repro Steps;Microsoft.VSTS.TCM.ReproSteps;html;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Steps;Microsoft.VSTS.TCM.Steps;html;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;System Info;Microsoft.VSTS.TCM.SystemInfo;html;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Test Suite Audit;Microsoft.VSTS.TCM.TestSuiteAudit;plainText;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Test Suite Type;Microsoft.VSTS.TCM.TestSuiteType;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Test Suite Type Id;Microsoft.VSTS.TCM.TestSuiteTypeId;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Area ID;System.AreaId;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Area Level 1;System.AreaLevel1;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Area Level 2;System.AreaLevel2;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Area Level 3;System.AreaLevel3;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Area Level 4;System.AreaLevel4;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Area Level 5;System.AreaLevel5;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Area Level 6;System.AreaLevel6;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Area Level 7;System.AreaLevel7;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Area Path;System.AreaPath;treePath;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Assigned To;System.AssignedTo;string;Yes;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Attached File Count;System.AttachedFileCount;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Authorized As;System.AuthorizedAs;string;Yes;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Authorized Date;System.AuthorizedDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Board Column;System.BoardColumn;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Board Column Done;System.BoardColumnDone;boolean;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Board Lane;System.BoardLane;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Changed By;System.ChangedBy;string;Yes;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Changed Date;System.ChangedDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Comment Count;System.CommentCount;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Created By;System.CreatedBy;string;Yes;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Created Date;System.CreatedDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Description;System.Description;html;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;External Link Count;System.ExternalLinkCount;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;History;System.History;history;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Hyperlink Count;System.HyperLinkCount;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;ID;System.Id;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Iteration ID;System.IterationId;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Iteration Level 1;System.IterationLevel1;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Iteration Level 2;System.IterationLevel2;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Iteration Level 3;System.IterationLevel3;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Iteration Level 4;System.IterationLevel4;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Iteration Level 5;System.IterationLevel5;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Iteration Level 6;System.IterationLevel6;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Iteration Level 7;System.IterationLevel7;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Iteration Path;System.IterationPath;treePath;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Node Name;System.NodeName;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Parent;System.Parent;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Reason;System.Reason;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Related Link Count;System.RelatedLinkCount;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Remote Link Count;System.RemoteLinkCount;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Rev;System.Rev;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Revised Date;System.RevisedDate;dateTime;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;State;System.State;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Tags;System.Tags;plainText;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Team Project;System.TeamProject;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Title;System.Title;string;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Watermark;System.Watermark;integer;No;No
Kanban WebshopMgmt;Kanban WebshopMgmt;Work Item Type;System.WorkItemType;string;No;No
Omikron;Agile;Found In;Microsoft.VSTS.Build.FoundIn;string;No;No
Omikron;Agile;Integration Build;Microsoft.VSTS.Build.IntegrationBuild;string;No;No
Omikron;Agile;Accepted By;Microsoft.VSTS.CodeReview.AcceptedBy;string;Yes;No
Omikron;Agile;Accepted Date;Microsoft.VSTS.CodeReview.AcceptedDate;dateTime;No;No
Omikron;Agile;Closed Status;Microsoft.VSTS.CodeReview.ClosedStatus;string;No;No
Omikron;Agile;Closed Status Code;Microsoft.VSTS.CodeReview.ClosedStatusCode;integer;No;No
Omikron;Agile;Closing Comment;Microsoft.VSTS.CodeReview.ClosingComment;string;No;No
Omikron;Agile;Associated Context;Microsoft.VSTS.CodeReview.Context;string;No;No
Omikron;Agile;Associated Context Code;Microsoft.VSTS.CodeReview.ContextCode;integer;No;No
Omikron;Agile;Associated Context Owner;Microsoft.VSTS.CodeReview.ContextOwner;string;No;No
Omikron;Agile;Associated Context Type;Microsoft.VSTS.CodeReview.ContextType;string;No;No
Omikron;Agile;Acceptance Criteria;Microsoft.VSTS.Common.AcceptanceCriteria;html;No;No
Omikron;Agile;Activated By;Microsoft.VSTS.Common.ActivatedBy;string;Yes;No
Omikron;Agile;Activated Date;Microsoft.VSTS.Common.ActivatedDate;dateTime;No;No
Omikron;Agile;Activity;Microsoft.VSTS.Common.Activity;string;No;No
Omikron;Agile;Business Value;Microsoft.VSTS.Common.BusinessValue;integer;No;No
Omikron;Agile;Closed By;Microsoft.VSTS.Common.ClosedBy;string;Yes;No
Omikron;Agile;Closed Date;Microsoft.VSTS.Common.ClosedDate;dateTime;No;No
Omikron;Agile;Issue;Microsoft.VSTS.Common.Issue;string;No;No
Omikron;Agile;Priority;Microsoft.VSTS.Common.Priority;integer;No;No
Omikron;Agile;Rating;Microsoft.VSTS.Common.Rating;string;No;No
Omikron;Agile;Resolved By;Microsoft.VSTS.Common.ResolvedBy;string;Yes;No
Omikron;Agile;Resolved Date;Microsoft.VSTS.Common.ResolvedDate;dateTime;No;No
Omikron;Agile;Resolved Reason;Microsoft.VSTS.Common.ResolvedReason;string;No;No
Omikron;Agile;Reviewed By;Microsoft.VSTS.Common.ReviewedBy;string;Yes;No
Omikron;Agile;Risk;Microsoft.VSTS.Common.Risk;string;No;No
Omikron;Agile;Severity;Microsoft.VSTS.Common.Severity;string;No;No
Omikron;Agile;Stack Rank;Microsoft.VSTS.Common.StackRank;double;No;No
Omikron;Agile;State Change Date;Microsoft.VSTS.Common.StateChangeDate;dateTime;No;No
Omikron;Agile;State Code;Microsoft.VSTS.Common.StateCode;integer;No;No
Omikron;Agile;Time Criticality;Microsoft.VSTS.Common.TimeCriticality;double;No;No
Omikron;Agile;Value Area;Microsoft.VSTS.Common.ValueArea;string;No;No
Omikron;Agile;Application Launch Instructions;Microsoft.VSTS.Feedback.ApplicationLaunchInstructions;html;No;No
Omikron;Agile;Application Start Information;Microsoft.VSTS.Feedback.ApplicationStartInformation;plainText;No;No
Omikron;Agile;Application Type;Microsoft.VSTS.Feedback.ApplicationType;string;No;No
Omikron;Agile;Completed Work;Microsoft.VSTS.Scheduling.CompletedWork;double;No;No
Omikron;Agile;Due Date;Microsoft.VSTS.Scheduling.DueDate;dateTime;No;No
Omikron;Agile;Effort;Microsoft.VSTS.Scheduling.Effort;double;No;No
Omikron;Agile;Finish Date;Microsoft.VSTS.Scheduling.FinishDate;dateTime;No;No
Omikron;Agile;Original Estimate;Microsoft.VSTS.Scheduling.OriginalEstimate;double;No;No
Omikron;Agile;Remaining Work;Microsoft.VSTS.Scheduling.RemainingWork;double;No;No
Omikron;Agile;Start Date;Microsoft.VSTS.Scheduling.StartDate;dateTime;No;No
Omikron;Agile;Story Points;Microsoft.VSTS.Scheduling.StoryPoints;double;No;No
Omikron;Agile;Target Date;Microsoft.VSTS.Scheduling.TargetDate;dateTime;No;No
Omikron;Agile;Automated Test Id;Microsoft.VSTS.TCM.AutomatedTestId;string;No;No
Omikron;Agile;Automated Test Name;Microsoft.VSTS.TCM.AutomatedTestName;string;No;No
Omikron;Agile;Automated Test Storage;Microsoft.VSTS.TCM.AutomatedTestStorage;string;No;No
Omikron;Agile;Automated Test Type;Microsoft.VSTS.TCM.AutomatedTestType;string;No;No
Omikron;Agile;Automation status;Microsoft.VSTS.TCM.AutomationStatus;string;No;No
Omikron;Agile;Local Data Source;Microsoft.VSTS.TCM.LocalDataSource;html;No;No
Omikron;Agile;Parameters;Microsoft.VSTS.TCM.Parameters;html;No;No
Omikron;Agile;Query Text;Microsoft.VSTS.TCM.QueryText;plainText;No;No
Omikron;Agile;Repro Steps;Microsoft.VSTS.TCM.ReproSteps;html;No;No
Omikron;Agile;Steps;Microsoft.VSTS.TCM.Steps;html;No;No
Omikron;Agile;System Info;Microsoft.VSTS.TCM.SystemInfo;html;No;No
Omikron;Agile;Test Suite Audit;Microsoft.VSTS.TCM.TestSuiteAudit;plainText;No;No
Omikron;Agile;Test Suite Type;Microsoft.VSTS.TCM.TestSuiteType;string;No;No
Omikron;Agile;Test Suite Type Id;Microsoft.VSTS.TCM.TestSuiteTypeId;integer;No;No
Omikron;Agile;Area ID;System.AreaId;integer;No;No
Omikron;Agile;Area Level 1;System.AreaLevel1;string;No;No
Omikron;Agile;Area Level 2;System.AreaLevel2;string;No;No
Omikron;Agile;Area Level 3;System.AreaLevel3;string;No;No
Omikron;Agile;Area Level 4;System.AreaLevel4;string;No;No
